"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000142611",7.73597042100151,-0.139780390215202,0.987772885652316,-0.141510657202229,0.887466541533942,0.999990448165512,"PRDM16"
"ENSG00000157911",380.762454672425,0.0635511088270789,0.264804016192968,0.23999299459555,0.810335687431295,0.999990448165512,"PEX10"
"ENSG00000142655",425.337190916172,-0.015720719163593,0.253956527821238,-0.0619031898823997,0.950639927213352,0.999990448165512,"PEX14"
"ENSG00000149527",7.55117607698393,-0.408842674344724,1.10215962811998,-0.370946879121413,0.710677097626434,0.999990448165512,"PLCH2"
"ENSG00000171621",300.345660130523,0.135445511514571,0.290559712246227,0.466153791478811,0.641105422195636,0.999990448165512,"SPSB1"
"ENSG00000142583",57.4019488378531,0.178900573475288,0.447749291049286,0.399555235600799,0.689484132805467,0.999990448165512,"SLC2A5"
"ENSG00000287727",7.27310762790577,0.031323966712772,1.0595441042668,0.0295636270228203,0.976415074056351,0.999990448165512,NA
"ENSG00000226457",6.32239764176152,0.13604071829871,1.27379207971931,0.106799783469126,0.914947819260355,0.999990448165512,"RPL22P3"
"ENSG00000173614",123.002598367118,0.160641124303623,0.344286343449497,0.466591624559129,0.640792080387871,0.999990448165512,"NMNAT1"
"ENSG00000204624",7.400312616821,-0.366763662776071,1.01364268895431,-0.361827364585868,0.717481041719235,0.999990448165512,"DISP3"
"ENSG00000142606",9.91124893533216,-0.429432697563567,0.954192578559158,-0.450048247296175,0.652675652051233,0.999990448165512,"MMEL1"
"ENSG00000171729",212.136473613423,0.688923289576883,0.296469276786579,2.3237594702699,0.0201383890951954,0.999990448165512,"TMEM51"
"ENSG00000037637",324.141228429953,0.0969651614558427,0.264158369971384,0.367072076748304,0.713565255169792,0.999990448165512,"FBXO42"
"ENSG00000287586",5.22532634399771,0.0426358653272148,1.19020434179817,0.0358223070021743,0.971424046064759,0.999990448165512,NA
"ENSG00000159423",251.73699140875,0.0645367772779042,0.278153876291447,0.232018256004037,0.816523834425523,0.999990448165512,"ALDH4A1"
"ENSG00000157916",1570.93195436956,-0.0119952704881565,0.22299978986415,-0.0537905013070369,0.957102077423224,0.999990448165512,"RER1"
"ENSG00000157881",364.288104230646,0.00244662747608286,0.261475915033481,0.00935698982359267,0.992534311225221,0.999990448165512,"PANK4"
"ENSG00000048707",2260.39154996379,-0.017087425714566,0.217227869223748,-0.0786612959728737,0.937302031387399,0.999990448165512,"VPS13D"
"ENSG00000162444",242.454968383292,-0.184363273364525,0.313893039920036,-0.587344253990122,0.556972525284387,0.999990448165512,"RBP7"
"ENSG00000180758",173.809719863715,0.235440668894699,0.29496427356154,0.798200629696184,0.424754072073635,0.999990448165512,"GPR157"
"ENSG00000184677",606.046525442496,0.0381443046829676,0.241542934633435,0.157919355997125,0.874520345567386,0.999990448165512,"ZBTB40"
"ENSG00000288398",33.0715362026692,-0.161708641239096,0.528355372363424,-0.306060370912375,0.759558680383114,0.999990448165512,NA
"ENSG00000224621",6.42299624475149,-0.217729690050849,1.0934492951995,-0.199121889791079,0.842167398505311,0.999990448165512,NA
"ENSG00000131697",472.165637590873,0.140906128267397,0.244728315048096,0.575765531012237,0.564773674762443,0.999990448165512,"NPHP4"
"ENSG00000233929",10.8512144985867,0.62374926171542,0.902680253392095,0.69099690546181,0.489567485747615,0.999990448165512,NA
"ENSG00000055070",1171.56924031081,0.0322037731337122,0.234286524791876,0.137454653707975,0.890671433549883,0.999990448165512,"SZRD1"
"ENSG00000234397",8.24508269212877,0.815782904753791,1.05176458666775,0.775632603621305,0.437965944019726,0.999990448165512,NA
"ENSG00000204138",652.730993038075,0.0401344280793839,0.250502796568954,0.160215489124635,0.872711328447823,0.999990448165512,"PHACTR4"
"ENSG00000090020",454.975105137068,0.229512339045782,0.320272595956692,0.716615601657086,0.473611315074409,0.999990448165512,"SLC9A1"
"ENSG00000157978",311.825596654062,0.231329419936855,0.289016535174493,0.800402024739484,0.423477908283853,0.999990448165512,"LDLRAP1"
"ENSG00000158006",135.845363889565,0.420643695499603,0.318307243867605,1.32150211345665,0.186333998294324,0.999990448165512,"PAFAH2"
"ENSG00000196581",1209.41405997342,-0.0722211173355108,0.240598169303274,-0.300173178975756,0.764045062351657,0.999990448165512,"AJAP1"
"ENSG00000169403",266.687158000203,-0.179519480054007,0.265319550354046,-0.676616102411049,0.498649559813634,0.999990448165512,"PTAFR"
"ENSG00000171612",157.943058639942,-0.0975515996791887,0.331617393777426,-0.294169128368047,0.768628669492233,0.999990448165512,"SLC25A33"
"ENSG00000188910",985.657560739799,0.172506672081394,0.290048083997569,0.594751979409178,0.552009270893731,0.999990448165512,"GJB3"
"ENSG00000158161",499.56035696403,-0.01763146072426,0.25272589815683,-0.0697651520989699,0.944380584165273,0.999990448165512,"EYA3"
"ENSG00000142627",2149.61341564877,0.0382353173463574,0.299002224474836,0.12787636417593,0.898246816114375,0.999990448165512,"EPHA2"
"ENSG00000142632",113.285375186877,-0.126363786835856,0.35311493357958,-0.357854553345811,0.720452162598435,0.999990448165512,"ARHGEF19"
"ENSG00000189337",2437.45348032866,-0.256465004769164,0.285307003122364,-0.898908901507648,0.368701186197634,0.999990448165512,"KAZN"
"ENSG00000028137",2.20195573815232,-0.620253358178305,1.93001714047728,-0.321371942854829,0.747928542696772,0.999990448165512,"TNFRSF1B"
"ENSG00000130939",1534.67925823325,0.10334330583225,0.231781326337038,0.445865538287484,0.655694376881529,0.999990448165512,"UBE4B"
